"","Age","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","dum_Gender","dum_Customer","dum_Class","dum_satisfaction"
"212",48,1192,4,2,4,3,4,3,3,1,1,4,2,3,1,1,0,0,0,1,0,0
"218",29,1020,1,4,1,4,1,1,1,1,3,3,3,4,3,1,0,0,1,1,0,0
"220",50,1448,2,3,2,5,4,2,4,4,4,3,4,3,1,4,20,4,1,1,1,0
"221",18,1127,2,5,2,3,3,2,3,3,4,4,4,3,5,3,0,0,0,1,0,0
"224",12,2466,2,4,2,3,1,2,1,1,4,4,5,4,4,1,0,0,0,1,0,0
"225",36,2715,2,3,2,3,2,3,2,4,5,3,3,2,3,2,0,0,0,1,0,0
"227",55,1608,2,2,2,4,2,3,4,5,5,2,5,3,5,2,0,0,0,1,0,0
"238",30,163,3,5,3,2,1,3,1,1,4,2,4,5,5,1,9,11,1,1,1,0
"239",51,395,2,4,5,1,2,4,5,3,3,5,3,1,3,1,0,0,0,1,0,0
"251",19,405,2,2,2,4,1,2,1,1,3,2,4,4,3,1,0,0,0,1,0,0
"258",12,719,3,4,3,3,1,3,1,1,5,2,4,4,4,1,0,0,0,1,0,0
"262",53,552,4,4,4,1,4,5,4,5,5,4,5,4,5,5,0,0,0,1,0,0
"272",55,349,2,3,2,3,2,3,5,2,2,2,2,5,2,3,0,0,0,1,0,0
"274",15,89,3,5,3,4,5,3,1,5,5,5,4,3,5,5,0,0,0,1,0,0
"289",69,1072,1,5,1,5,4,4,4,1,1,1,1,4,1,4,18,7,0,1,0,0
"299",52,685,4,4,4,5,4,4,4,4,3,4,5,5,4,4,0,0,1,1,0,1
"303",67,2342,3,4,3,3,5,3,2,5,4,2,3,1,4,5,0,0,1,1,0,0
"315",18,549,2,5,2,3,2,2,2,2,5,5,4,5,4,2,0,0,0,1,1,0
"323",29,119,2,2,2,2,5,2,2,5,4,5,3,2,3,5,0,0,0,1,0,0
"324",13,387,2,1,2,3,1,2,1,1,4,1,3,1,4,1,16,12,0,1,0,0
"326",13,323,2,4,2,3,2,2,2,2,1,5,4,4,4,2,15,7,1,1,0,0
"331",34,948,2,4,2,2,4,2,4,4,4,3,4,3,5,4,0,0,1,1,0,0
"333",23,1372,3,5,3,1,1,3,1,1,3,2,3,4,5,1,0,0,0,1,1,0
"335",8,552,4,3,4,1,3,4,3,3,3,2,2,3,5,3,0,11,1,1,0,0
"340",27,429,4,5,4,3,3,4,1,3,5,3,4,4,4,3,0,0,1,1,0,0
"345",55,432,4,4,2,1,5,4,4,3,3,2,2,4,3,5,0,0,1,1,2,0
"351",42,270,1,2,1,4,3,3,3,4,4,1,4,1,4,4,0,0,0,1,0,0
"361",37,255,3,1,3,4,3,3,3,3,1,4,4,1,3,3,0,0,0,1,0,0
"373",17,802,2,5,2,2,4,2,4,4,2,5,3,1,4,4,0,5,1,1,0,0
"382",70,1892,1,4,1,3,1,1,1,1,4,4,4,4,3,1,0,0,1,1,0,0
"392",44,192,2,4,2,5,4,2,4,4,3,1,4,1,2,4,0,0,1,1,0,0
"394",20,1120,2,1,2,4,2,2,2,2,2,4,4,3,3,2,0,3,0,1,0,0
"395",10,1440,1,4,1,4,4,1,4,4,5,3,3,5,5,4,0,7,0,1,0,0
"397",22,451,2,4,2,3,2,2,2,2,3,5,5,4,5,2,0,0,0,1,0,0
"398",42,798,1,1,1,3,5,2,2,3,3,1,3,3,3,3,1,4,0,1,0,0
"400",24,1096,2,5,2,3,1,2,1,1,5,4,4,3,1,1,1,0,1,1,0,0
"402",7,405,3,5,3,2,4,3,4,4,3,5,4,3,5,4,3,0,1,1,0,0
"420",9,804,1,5,1,3,1,1,1,1,5,2,5,3,5,1,0,0,0,1,1,0
"426",18,134,2,2,2,3,3,2,4,3,2,4,3,4,3,3,0,0,0,1,0,0
"427",8,647,3,2,3,3,2,3,5,2,2,4,3,3,2,2,0,0,0,1,1,0
"448",43,888,5,1,5,3,4,1,4,4,4,4,4,2,4,4,0,0,1,0,0,1
"457",48,296,2,5,4,3,4,4,4,2,2,4,2,3,2,3,0,0,0,1,0,0
"458",63,391,3,4,3,5,5,3,4,5,3,4,5,3,5,5,0,4,1,1,0,0
"462",21,1947,2,4,2,3,1,2,1,1,4,2,3,5,4,1,0,0,1,1,0,0
"471",20,446,4,3,4,3,1,4,1,1,3,4,4,2,4,1,0,0,1,1,0,0
"489",11,507,3,5,3,1,1,3,1,1,4,4,4,5,5,1,11,5,1,1,0,0
"490",33,226,1,4,1,1,2,1,2,2,3,4,4,4,5,2,0,0,0,1,0,0
"491",10,338,1,5,3,3,5,3,4,5,4,2,4,5,4,5,0,0,0,1,1,0
"497",40,399,3,4,3,1,1,3,1,1,5,1,2,5,1,1,0,0,0,1,0,0
"498",29,802,2,3,2,4,2,2,2,2,3,2,4,4,3,2,0,0,0,1,1,0
"499",68,406,3,3,3,2,3,3,3,3,5,3,3,4,5,3,0,0,1,1,0,0
"505",8,597,4,4,4,2,2,4,2,2,5,4,5,4,4,2,0,6,0,1,0,0
"506",50,1635,1,5,1,3,4,1,4,4,3,5,5,3,4,4,0,4,1,1,0,0
"509",55,1236,1,4,1,3,3,3,4,5,5,1,5,5,5,5,0,9,0,1,0,0
"513",49,484,3,4,3,3,3,5,4,4,4,3,4,5,4,3,0,0,0,1,0,0
"514",31,2279,1,5,1,2,3,1,3,3,5,3,5,3,5,3,0,0,0,1,0,0
"528",19,888,2,4,2,3,1,2,1,1,4,4,4,5,4,1,1,0,1,1,0,0
"529",43,301,3,4,3,3,5,4,5,4,4,3,2,4,4,5,0,0,0,1,0,0
"532",58,2405,5,2,5,4,2,3,4,3,3,5,3,2,3,2,10,0,0,1,0,1
"534",68,666,4,3,4,2,1,5,2,1,1,4,1,5,1,5,2,0,0,1,0,0
"550",29,331,2,5,2,2,3,2,3,3,5,3,5,3,5,3,0,0,0,1,1,0
"563",29,992,2,4,2,3,5,2,5,5,4,3,5,4,4,5,0,10,1,1,0,0
"573",10,192,2,5,2,2,2,2,5,2,3,2,4,5,4,2,3,4,1,0,0,0
"575",58,541,2,2,2,3,1,2,1,1,4,4,4,3,4,1,4,0,1,1,0,0
"579",10,325,3,4,3,4,1,3,1,1,3,1,4,3,2,1,13,5,1,1,0,0
"586",47,1749,3,5,3,2,5,3,5,5,3,1,5,1,5,5,0,3,1,1,0,0
"596",66,1097,4,3,4,3,4,4,5,3,3,4,3,5,3,2,0,0,0,1,0,0
"598",65,745,3,5,4,4,1,2,5,3,3,4,1,4,3,5,0,0,0,1,0,0
"602",45,1294,3,5,3,5,2,3,2,2,3,3,4,3,4,2,11,4,1,1,0,0
"603",58,1208,3,3,4,4,2,4,2,2,2,1,4,4,4,2,0,0,1,1,1,0
"609",52,1517,4,5,4,4,3,4,3,3,4,2,5,5,4,3,0,0,1,1,0,1
"644",61,731,5,5,5,2,1,5,1,1,1,2,5,3,5,1,0,0,1,1,0,1
"646",43,109,4,3,4,3,2,4,3,3,3,4,5,4,3,2,0,0,0,1,0,0
"647",34,2457,2,4,2,4,2,1,2,4,2,4,4,2,5,2,0,0,1,1,0,0
"648",56,2615,2,4,2,4,2,3,5,3,3,4,5,5,4,5,0,1,1,1,0,0
"655",48,290,2,5,2,1,5,2,5,5,4,3,4,4,4,5,0,0,1,1,0,0
"658",39,299,2,4,2,4,4,2,4,4,2,5,3,1,3,4,0,0,1,1,0,0
"661",29,612,2,4,2,2,4,2,4,4,1,3,5,3,5,4,0,5,0,1,0,0
"664",27,776,2,1,2,2,4,2,4,4,4,3,2,1,2,4,6,10,0,1,1,0
"668",45,531,1,3,1,3,3,4,2,2,2,1,2,1,2,4,0,0,0,1,0,0
"677",11,1310,3,4,4,3,5,4,3,5,4,3,4,3,5,5,24,12,1,1,0,0
"680",17,808,3,5,3,5,5,3,5,5,2,4,4,1,4,5,0,0,0,1,0,0
"688",17,991,2,3,3,4,5,3,5,5,3,5,3,2,3,5,0,0,1,1,0,0
"694",53,972,3,4,3,2,2,3,2,2,3,3,4,3,5,2,0,0,1,1,0,0
"707",20,992,3,4,3,3,3,3,3,3,4,5,4,4,4,3,0,7,1,1,0,0
"709",69,1334,5,4,5,3,4,5,4,4,5,4,4,3,4,4,4,0,0,0,0,1
"715",17,647,2,2,2,4,2,2,2,2,2,1,3,4,4,2,6,0,0,1,0,0
"719",23,101,4,4,4,4,5,4,5,5,3,2,4,4,5,5,0,0,0,1,1,0
"727",68,1635,1,5,1,1,3,4,5,2,2,1,5,3,2,3,0,0,0,1,0,0
"730",32,1237,3,5,3,1,4,3,5,4,4,3,3,4,4,4,8,1,0,1,2,0
"733",7,1154,3,4,3,2,3,3,3,3,5,2,5,3,5,3,0,0,1,1,0,0
"734",59,145,1,3,1,4,5,4,3,5,5,1,5,1,5,2,0,0,0,1,0,0
"735",62,581,2,4,2,1,2,2,2,2,5,2,4,4,5,2,0,0,1,1,0,0
"736",33,1197,3,4,3,5,4,3,3,4,5,3,4,4,5,4,0,0,1,1,0,0
"746",39,294,1,5,1,3,1,1,1,1,3,2,5,4,5,1,0,0,1,1,0,0
"762",60,438,3,4,3,3,5,4,4,4,4,3,4,3,4,5,1,0,0,1,0,0
"769",62,2475,3,2,2,3,1,2,1,1,3,2,3,3,2,1,0,0,1,1,0,0
"773",32,1546,2,5,2,2,3,2,3,3,4,2,5,4,5,3,20,5,1,1,0,0
"784",61,588,1,2,1,3,1,3,3,5,5,1,2,3,5,1,0,0,0,1,0,0
"787",66,484,3,2,4,4,2,4,2,2,3,3,2,2,3,2,2,0,1,1,0,0
"790",24,605,2,4,2,4,2,2,5,2,5,4,5,3,5,2,0,0,0,1,0,0
"794",27,992,3,4,3,4,4,3,4,4,4,5,4,3,4,4,0,0,0,1,0,0
"798",68,630,2,4,2,2,1,2,1,1,3,1,1,1,1,1,4,1,1,1,0,0
"801",44,528,1,3,1,5,1,1,1,1,2,1,5,5,3,1,20,8,1,1,0,0
"807",26,908,3,4,3,4,2,3,2,2,2,3,5,1,1,2,0,0,0,1,0,0
"813",11,1020,2,2,2,3,2,2,1,2,1,1,4,3,4,2,2,0,0,1,2,0
"827",27,391,2,5,2,5,1,2,1,1,3,4,5,4,5,1,1,0,1,1,0,0
"829",11,2378,2,4,2,1,3,2,3,3,4,2,4,5,1,3,0,0,0,1,0,0
"833",40,733,1,2,1,3,3,1,3,3,4,5,3,4,2,3,0,0,1,1,0,0
"838",42,468,2,4,2,1,1,2,5,1,1,2,1,2,1,3,0,0,0,1,0,0
"841",8,794,2,4,2,4,5,2,5,5,4,2,4,4,5,5,11,7,0,1,1,0
"845",18,447,2,3,2,3,3,2,3,3,4,5,3,1,3,3,0,0,0,1,0,0
"846",30,163,3,5,3,5,5,3,5,5,2,1,2,5,2,5,0,2,1,1,0,0
"849",58,631,3,1,2,2,1,2,1,1,1,1,3,4,2,1,0,0,1,1,0,0
"857",14,377,3,5,3,2,1,3,1,1,4,5,4,5,4,1,0,0,1,1,0,0
"864",37,761,2,5,2,3,3,2,4,3,4,5,4,4,5,3,2,0,0,1,0,0
"872",36,226,2,5,2,4,2,2,2,2,3,3,4,4,4,2,0,0,0,1,0,0
"875",49,1023,1,4,1,4,1,2,2,2,2,1,2,3,2,3,0,0,0,1,0,0
"882",64,277,2,2,2,2,5,3,3,1,1,2,1,3,1,1,8,1,0,1,0,0
"883",8,354,3,2,3,4,3,3,3,3,2,4,4,1,3,3,0,0,0,1,0,0
"886",41,1182,3,5,3,4,2,3,2,2,5,3,5,5,4,2,0,0,1,1,0,0
"899",63,487,2,5,2,3,3,4,5,3,3,2,3,4,3,5,0,0,0,1,0,0
"900",25,588,1,3,1,1,4,1,4,4,1,2,1,3,5,4,0,0,0,1,0,0
"904",49,332,3,5,3,2,5,4,5,4,4,3,4,3,4,4,0,0,0,1,1,0
"906",16,337,2,4,3,2,3,3,1,3,4,5,2,5,5,3,2,0,0,1,0,0
"909",27,689,3,2,3,4,3,3,3,3,4,2,4,2,4,3,0,0,1,1,0,0
"918",42,587,4,4,3,3,4,4,5,3,3,3,3,4,3,3,1,0,0,1,0,0
"922",29,1192,1,5,1,2,3,1,3,3,4,3,4,5,5,3,0,0,1,1,0,0
"923",25,594,3,3,3,3,4,3,1,4,4,1,2,1,2,4,0,9,0,1,0,0
"932",11,301,2,2,2,4,1,2,1,1,1,3,3,4,3,1,2,0,1,1,0,0
"937",34,280,2,5,2,3,3,2,3,3,4,2,5,5,4,3,0,0,0,1,0,0
"945",56,1972,4,2,4,3,5,3,3,3,3,4,3,3,3,2,0,0,0,1,0,0
"947",53,214,2,2,2,3,4,2,4,4,3,4,2,4,2,4,0,0,1,1,0,0
"949",23,130,1,4,1,3,5,1,3,5,2,4,3,4,3,5,0,9,1,1,0,0
"952",23,1749,2,1,2,4,1,2,1,1,3,4,3,1,4,1,8,0,0,1,0,0
"960",29,488,1,5,1,3,2,1,2,2,4,4,4,3,5,2,0,0,1,1,0,0
"963",48,337,4,4,4,4,2,5,5,5,5,4,5,5,5,4,4,0,0,1,0,0
"964",61,333,2,4,2,2,5,2,5,5,3,3,4,4,4,5,4,1,1,1,0,0
"966",52,733,3,5,3,3,1,3,1,1,4,4,3,4,4,1,13,2,1,1,0,0
"973",28,1416,1,5,1,1,3,1,3,3,4,2,3,5,4,3,1,0,0,1,0,0
"975",34,153,1,3,1,3,3,1,3,3,2,3,4,3,3,3,0,0,1,1,1,0
"983",13,861,2,1,2,4,2,2,2,2,3,1,4,2,3,2,0,7,1,1,2,0
"986",17,160,1,5,1,4,1,1,2,1,3,4,4,3,4,1,0,0,1,1,2,0
"993",26,1073,2,2,2,4,3,2,3,3,3,2,4,4,3,3,16,0,0,1,0,0
"998",48,284,2,5,3,4,5,3,5,5,3,3,2,1,2,5,0,0,1,1,0,0
"1002",55,419,2,4,3,3,3,1,4,1,1,3,2,3,1,4,0,0,0,1,0,0
"1004",56,589,1,5,1,3,3,1,4,3,4,1,1,5,4,3,7,12,0,0,0,0
"1013",69,337,3,2,3,3,5,2,3,1,1,3,1,2,1,3,14,0,1,1,2,0
"1015",7,2521,4,2,4,3,4,1,1,4,3,3,3,1,4,1,0,0,1,1,2,0
"1016",20,255,3,5,3,4,5,3,5,5,5,2,5,4,4,5,0,0,0,1,0,0
"1034",37,819,2,3,2,2,4,2,4,4,2,1,3,1,3,4,6,7,1,1,1,0
"1039",46,289,3,4,3,3,3,3,3,3,5,4,4,4,4,3,0,0,1,1,1,0
"1040",9,253,2,5,2,4,3,2,1,3,3,2,3,1,5,3,0,0,0,1,2,0
"1043",54,315,1,5,1,2,3,4,5,2,2,1,2,4,2,3,0,0,0,1,0,0
"1044",49,427,4,4,5,1,2,4,5,3,3,5,3,5,3,3,0,0,0,1,1,0
"1055",18,236,4,4,4,4,2,4,2,2,1,5,4,3,4,2,14,2,0,1,0,0
"1058",15,1189,1,5,2,1,3,2,2,3,4,5,5,5,4,3,7,0,0,1,2,0
"1061",69,700,3,5,3,2,5,3,5,5,4,4,2,5,1,5,0,0,1,1,0,0
"1075",10,980,2,4,3,3,4,3,4,4,2,4,4,4,4,4,0,0,1,1,0,0
"1081",19,102,3,4,3,3,1,3,1,1,4,5,3,3,4,1,0,0,1,1,0,0
"1083",14,1127,4,4,4,2,5,4,3,5,5,2,5,4,5,5,0,3,1,1,0,1
"1085",59,280,2,4,2,3,3,4,5,2,2,2,2,3,2,5,0,0,0,1,0,0
"1086",50,1481,2,5,2,4,3,2,3,3,3,3,2,2,4,3,2,0,1,1,0,0
"1087",58,369,1,2,2,3,3,2,3,3,2,2,3,2,2,3,8,0,1,1,1,0
"1092",46,1620,3,4,2,1,5,4,5,4,4,2,4,3,4,5,0,1,0,1,1,0
"1095",8,1258,4,5,4,3,3,4,3,3,3,3,3,3,5,3,0,0,1,1,0,1
"1097",17,473,4,5,4,3,4,4,4,4,3,5,5,4,3,4,0,0,0,1,0,0
"1103",22,933,3,5,3,4,3,3,3,3,3,4,5,5,5,3,0,0,1,1,0,0
"1106",13,304,4,4,4,3,1,4,1,1,4,3,4,5,4,1,0,0,0,1,2,0
"1109",20,1620,3,2,3,3,2,3,5,2,3,3,4,4,3,2,0,0,0,1,0,0
"1110",30,175,4,4,4,4,3,4,3,3,1,1,3,1,2,3,0,0,0,1,0,0
"1112",14,391,1,1,1,3,3,1,3,3,4,2,4,4,4,3,0,0,0,1,0,0
"1126",69,1068,4,5,4,3,3,4,5,3,3,4,3,4,3,3,7,1,0,1,0,1
"1127",47,1956,2,4,2,1,4,5,4,3,3,2,3,3,3,3,0,0,0,1,0,0
"1138",64,1751,1,4,1,3,1,1,1,1,2,5,3,2,4,1,4,5,1,1,0,0
"1139",59,246,4,5,4,3,5,4,5,5,3,3,3,3,4,5,0,0,1,1,0,0
"1154",42,694,2,5,2,2,4,4,4,1,1,2,1,4,1,5,27,0,0,1,0,0
"1158",26,349,3,3,3,3,1,3,1,1,1,1,3,3,3,1,0,0,1,1,0,0
"1162",62,632,4,4,4,2,2,4,5,2,2,4,2,3,2,4,0,0,0,1,0,0
"1173",44,501,4,2,4,4,4,4,4,2,2,4,2,2,2,4,0,0,0,1,0,0
"1178",37,948,2,1,2,3,5,2,5,5,2,4,3,3,3,5,0,0,0,1,0,0
"1179",40,480,1,4,1,3,3,1,2,3,5,2,1,5,1,3,5,0,0,1,0,0
"1183",13,2762,4,4,4,4,4,4,4,2,4,4,4,4,3,4,3,0,0,1,0,1
"1184",53,448,2,4,2,2,5,4,5,1,1,2,1,4,1,3,0,0,0,1,0,0
"1185",46,2173,4,4,4,3,2,4,4,2,2,4,2,4,2,5,12,0,0,1,0,0
"1190",69,177,4,5,4,3,4,4,5,2,2,4,2,3,2,5,0,0,0,1,0,0
"1192",22,1390,1,4,2,2,1,2,1,1,4,2,1,3,5,1,0,0,0,1,0,0
"1196",23,533,2,5,2,3,5,2,5,5,4,5,5,5,5,5,0,0,1,1,0,0
"1203",27,2036,2,4,2,1,3,2,3,3,5,5,5,5,4,3,0,0,0,1,0,0
"1215",55,628,3,5,3,2,3,3,3,3,5,2,2,1,1,3,0,0,1,1,0,0
"1217",9,687,2,5,2,3,5,2,5,5,4,5,4,4,5,5,0,0,0,1,0,0
"1218",16,1514,3,4,3,4,4,3,4,4,2,3,4,1,4,4,7,0,1,1,0,0
"1222",13,1452,2,4,2,3,5,2,5,5,2,5,5,5,2,5,2,0,1,1,0,0
"1231",60,214,2,5,2,1,4,5,4,3,3,2,3,3,3,4,0,0,0,1,1,0
"1232",46,687,4,4,4,4,2,4,2,2,3,3,5,5,5,2,22,12,1,1,0,0
"1234",61,719,2,5,1,3,1,2,2,4,4,1,4,2,4,4,0,0,0,1,0,0
"1236",41,967,3,4,3,3,4,3,4,4,4,2,3,1,3,4,12,8,1,1,0,0
"1238",59,868,4,4,4,2,4,5,5,1,1,4,1,2,1,3,7,0,0,1,0,1
"1240",11,2378,2,5,2,5,1,2,4,1,5,4,5,5,3,1,0,0,0,1,0,0
"1242",65,835,4,3,4,4,5,4,5,5,1,1,3,2,3,5,0,0,1,1,0,0
"1243",44,601,1,4,1,5,4,1,4,4,1,1,1,1,5,4,1,0,1,1,0,0
"1248",55,347,1,4,1,4,5,1,5,5,4,5,4,3,4,5,0,0,1,1,0,0
"1254",26,483,3,1,3,3,3,3,3,3,1,2,2,2,4,3,5,4,1,1,0,0
"1255",69,427,2,4,2,4,5,3,4,1,1,2,1,2,1,1,0,0,0,1,0,0
"1256",66,346,3,5,3,2,4,5,5,1,1,3,1,4,1,5,1,0,0,1,0,0
"1261",7,2677,4,1,4,3,4,3,4,4,1,3,3,4,1,4,0,0,1,1,0,0
"1266",50,1460,1,5,1,1,3,5,5,2,2,1,2,4,2,3,21,0,0,1,0,0
"1274",29,602,3,4,3,4,2,3,2,2,3,2,5,4,4,2,7,10,0,1,0,0
"1279",48,787,2,4,2,3,3,2,3,3,3,3,4,5,5,3,8,11,1,1,0,0
"1281",25,1747,4,1,4,3,1,4,1,1,3,1,2,1,3,1,0,0,1,1,0,0
"1284",62,192,2,2,2,4,1,2,1,1,2,2,3,3,3,1,0,0,1,1,0,0
"1293",67,1947,1,4,1,3,4,4,5,1,1,1,1,3,1,4,0,0,0,1,0,0
"1302",56,1157,3,4,3,3,4,5,5,1,1,3,1,5,1,3,0,0,0,1,0,0
"1304",14,308,4,4,4,2,2,4,2,2,3,2,4,4,5,2,2,0,0,1,0,0
"1305",64,214,4,3,4,4,5,4,5,5,3,1,3,1,3,5,0,4,1,1,0,0
"1308",56,1670,2,3,2,3,3,3,4,4,4,2,4,1,4,2,1,0,0,1,0,0
"1313",52,1390,1,4,1,1,2,4,2,3,3,1,3,5,3,1,0,0,0,1,0,0
"1317",35,1197,4,4,4,4,2,4,2,2,4,2,4,5,5,2,0,0,0,1,0,0
"1320",21,588,1,5,1,2,4,1,4,4,4,1,1,4,3,4,0,0,0,1,0,0
"1323",49,160,1,1,1,3,5,1,5,5,2,3,3,1,3,5,4,6,1,1,0,0
"1324",54,349,1,5,1,2,4,1,4,4,3,3,5,3,5,4,0,0,1,1,0,0
"1325",39,936,3,2,3,4,5,3,5,5,3,5,4,2,3,5,0,8,1,1,0,0
"1329",17,302,3,5,3,3,4,3,4,4,4,4,3,4,3,4,0,0,1,1,1,0
"1332",59,325,3,2,3,3,3,3,3,3,2,4,3,4,3,3,0,0,1,1,0,0
"1337",65,1055,3,5,3,5,3,4,4,1,1,3,1,3,1,4,0,0,0,1,0,0
"1346",23,1080,3,1,3,3,2,3,2,2,3,5,4,3,4,2,0,0,0,1,0,0
"1355",9,1050,4,2,3,3,5,3,5,5,4,4,3,1,3,5,1,0,1,1,0,1
"1358",46,391,2,3,1,2,4,1,4,4,4,5,2,3,3,4,0,0,1,1,1,0
"1366",68,874,2,3,2,4,4,2,4,4,4,2,3,3,3,4,0,2,1,1,0,0
"1368",59,304,3,4,3,1,2,3,2,2,3,2,5,3,4,2,0,0,1,1,0,0
"1378",41,1183,4,4,4,3,2,3,5,1,1,4,1,3,1,5,0,8,1,1,2,0
"1380",42,304,2,3,2,3,2,2,2,2,3,5,3,4,3,2,8,7,1,1,0,0
"1384",21,368,3,3,3,3,3,3,3,3,2,4,1,2,3,3,16,10,0,1,0,0
"1386",64,453,2,5,2,5,5,4,4,2,2,2,2,4,2,4,0,3,0,1,0,0
"1389",63,634,4,4,4,2,3,5,5,3,3,4,2,3,3,3,0,0,0,1,0,0
"1393",67,680,2,5,2,3,4,2,4,4,4,2,4,4,5,4,0,0,1,1,0,0
"1397",37,187,2,4,2,5,4,2,4,4,4,3,4,3,4,4,2,0,0,1,0,0
"1401",47,1670,4,4,5,2,3,2,4,2,2,5,2,2,2,5,0,0,0,1,1,0
"1404",61,989,3,5,3,3,3,3,3,3,4,3,4,5,5,3,16,12,1,1,1,0
"1405",30,2239,3,4,4,2,4,4,4,4,3,3,4,4,5,4,0,0,1,1,2,0
"1409",30,522,3,5,3,4,4,3,4,4,5,2,5,3,5,4,0,3,0,1,0,0
"1412",68,404,1,5,1,3,1,1,4,1,4,2,5,5,4,1,0,0,1,1,0,0
"1414",47,173,1,4,1,2,5,4,5,4,4,1,2,5,4,5,0,0,0,1,0,0
